,Task_name,Task_description,Task_label,Task_priority,Sprint_number,Planned_estimate,Actual_estimate,Optimistic,Most_likely,Pessimistic,Weighted_average,Standard_deviation,Risk_factor,Standard_confidence,High_confidence,Higher_confidence,Highest_confidence,Final_estimate,Variance,Ai_estimate
213,Set up AWS EC-2 Instance,,EST_INFRA,Medium,ET Sprint 2,8,8,8,9,9,8.83,0.17,0.02,8.83,8.92,9.05,9.23,8,2116,8
214,SyncTool error,"This issue was reported by Bryan Beecher on Dec 20, 2012. He was, at the time, using the latest Sync Tool from trunk:   I'm seeing a seemingly unending series of errors like this:  at java.util.SubList.add(AbstractList.java:652)  written to stdout/stderr in the window where I run synctool.  I don't see anything obvious in any of the synctool log files to account for the error, and I can't read the status display from the synctool to tell if things are working despite the error, or if the train has gone off the tracks.  The errors persist across restarts.  I've tried it a couple of times now, including removing the contents of the log directory.  Reverting back to version 2.0.0 cleared up the problem.",EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
215,iOS: Calendar events status shows wrong status number or null,"h5.Reproduce:  1. Simple run the following codes.  {code:title=app.js}  Ti.API.info(Ti.Calendar.STATUS_TENTATIVE);  Ti.API.info(Ti.Calendar.STATUS_CONFIRMED);  Ti.API.info(Ti.Calendar.STATUS_CANCELLED);  Ti.API.info(Ti.Calendar.STATUS_NONE);  {code}    h5.Expect Result:  It should show different status numbers    h5.Actual Result:  The status numbers are wrong. Like this:  {code}  [INFO] :   0  [INFO] :   1  [INFO] :   <null>  [INFO] :   0  {code}    h5.Note:  Can be reproduce on SDK 3.5.1, 3.5.2 and 4.0.0RC2",EST_BE,Medium,INT Sprint 1,6,6,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
216,bi-weekly IaM meeting,,EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
217,First day activities,Meeting with HR at 8:30AM.  Taken around for introductions through 10AM.  Remainder of day was proceeding through HR punch list for new hires such as:  	NCSA Intranet account setup  	Gain familiarity with NCSA Intranet  	Kerberos and Enterprise ID setup  	Read and Sign-off  on Security and NCSA policy.  	Outlook mail and calendar setup  2pm DM meeting,EST_BE,Medium,INT Sprint 1,4,4,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
218,Android: Picker in scrollView not working,"h6.Issue  Picker in scrollView not working.    h6.Tested on  Android Emulator 2.2  Droid Razr 2.3.5    h6.Runtime Engines  Rhino / V8    h6.Steps to reproduce  1. Run code below  2. Click the picker     h6.Expected behavior  See fully operational Pickers whose options render on screen    h6.Repro sequence  {code}  Titanium.UI.setBackgroundColor('#000');      var win1 = Titanium.UI.createWindow({       title:'Tab 1',      backgroundColor:'#fff'  });      var win5 = Titanium.UI.createScrollView({      contentHeight:'auto',      left:15,      right:5      ,layout:'vertical'  });          var names = ['Joanie', 'Mickey', 'Jean-Pierre', 'Gustav', 'Raul', 'Mimi', 'Emily', 'Sandra', 'Carrie', 'Chachi'];  var verbs = ['loves', 'likes', 'visits', 'loathes', 'waves to', 'babysits', 'accompanies', 'teaches', 'announces', 'supports', 'knows', 'high-fives'];      var rows1 = [];  for (var i = 0; i < names.length; i++) {      rows1.push(Ti.UI.createPickerRow({title: names[i]}));  }      var rows2 = [];  for (i = 0; i < verbs.length; i++) {      rows2.push(Ti.UI.createPickerRow({title: verbs[i]}));  }      var rows3 = [];  for (i = (names.length -1); i >=0; i--) {      rows3.push(Ti.UI.createPickerRow({title: names[i]}));  }      var column1 = Ti.UI.createPickerColumn( {      rows: rows1, font: {fontSize: ""12""}  });  var column2 = Ti.UI.createPickerColumn( {      rows: rows2, font: {fontSize: ""12""}  });  var column3 = Ti.UI.createPickerColumn( {      rows: rows3, font: {fontSize: ""12""}  });      var picker = Ti.UI.createPicker({      useSpinner: true, visibleItems: 7,      type : Ti.UI.PICKER_TYPE_PLAIN,      top: 20, height: '200',      columns: [ column1, column2, column3 ]  });      picker.addEventListener('change', function(e) {      Ti.API.info(e.selectedValue[0] + "" "" + e.selectedValue[1] + "" "" + e.selectedValue[2]);  });      win5.add(picker);  win1.add(win5);      win1.open();  {code} ",EST_BE,Medium,INT Sprint 1,2,2,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
219,Allow MEL expressions to safely access nested null properties,"Consider an object a with property b    The expresion ""a.b.c"" will fail if a.b is null.  MVEL was enhanced to include a null safe get flag that would make that expression return null.    Change Mule to set that mode of operation.  ",EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
220,Evaluate the model,"Evaluate the trained model performance on the validation dataset and compare its performance by metrics, loss, and accuracy graphs.",EST_AI,Medium,ET Sprint 3,8,9,8,8,10,8.33,0.33,0.04,8.33,8.5,8.75,9.1,8,2704,8
221,Create a controller-action that returns the logged-in Titanium user information,"The action should return, at least, the logged-in user name (email) and the MD5 hash of his/her email.",EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
222,more efficient VMware infrastructure,"Deliverable: more efficient VMware infrastructure  W15: Glick B 50%, Elliott M 25%, Mather B 10% 38 SP estimated  S15: Mather B 40%, Glick B 25% 6 SP estimated",EST_BE,Medium,INT Sprint 1,12,12,11,12,12,11.83,0.17,0.01,11.83,11.92,12.05,12.23,11,3721,8
223,Cleanup SdssShape,"We should do a comprehensive cleanup of the SdssShapeAlgorithm class.  This includes removing the SdssShapeImpl interface (never supposed to have been public, but it became public) from other code that uses it, and integrating this code directly into the algorithm class.  We should also ensure that the source from which the algorithm is derived is clearly cited -- that's Bernstein and Jarvis (2002, http://adsabs.harvard.edu/abs/2002AJ....123..583B); see also DM-2304.",EST_BE,Medium,INT Sprint 1,16,17,15,16,16,15.83,0.17,0.01,15.83,15.92,16.05,16.23,15,6561,8
224,Add support to expose counter metrics for dashboarding,"As a s-c-d developer, I'd like to add support to expose counter (metrics) endpoints, so I can consume to feed the dashboards to demonstrate {{firehose | counter}} pipe.",EST_BE,Medium,INT Sprint 1,6,7,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
225,Port HSC optimisations for reading astrometry.net catalog,"Some astrometry.net catalogs used in production can be quite large, and currently all of the catalog must be read in order to determine bounds for each component.  This can make the loading of the catalog quite slow (e.g., 144 sec out of 177 sec to process an HSC image, using an SDSS DR9 catalog).  We have HSC code that caches the required information, making the catalog load much faster.  The code is from the following HSC issues:    * [HSC-1087: Make astrometry faster|https://hsc-jira.astro.princeton.edu/jira/browse/HSC-1087]  * [HSC-1143: Floating point exception in astrometry|https://hsc-jira.astro.princeton.edu/jira/browse/HSC-1143]  * [HSC-1178: Faster construction of Astrometry.net catalog|https://hsc-jira.astro.princeton.edu/jira/browse/HSC-1178]  * [HSC-1179: Assertion failure in astrometry.net|https://hsc-jira.astro.princeton.edu/jira/browse/HSC-1178]    While there have been some changes to the LSST astrometry code that will mean we can't directly cherry-pick the HSC code, yet I think the main structure remains, so the approach can be copied without much effort.",EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
226,Fix ruler coloring when include coverage from passed only is enabled,"Eclipse. Java Editor. Left ruler showing coverage colours (green/yellow/blue). Rules shows ""yellow coverage"" when the ""include from passed only"" option is enabled. There should be no yellow colour in such case.     Note: source code is highlighted correctly, metrics are fine too.    See screenshot.",EST_BE,Medium,INT Sprint 1,2,3,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
227,Port HSC meas_extensions_multiShapelet changesets to LSST,We identified in DM-5162 a few changesets that still need to be ported from HSC to LSST:    * bf5f753133ae4b41357f9789ff4763949ebb6ffb: FitPsf: reduce outerOrder to 1  * a54d6cbd41baf916fac2a1bb235a8502af14edfd: Provide explicit instantiations for the sake of clang 6.0 on os/x 10.9  * a53ac9e5cdb678a3f8ef633110d7d4cc5ac84f15: FitProfileAlgorithm: bail if the PSF flux failed,EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
228,Automatically align version for tomcat components from platform,"https://github.com/spring-projects/spring-xd/commit/db66aa2a329a6fc7ef89a340dd4d562fa70d14a4 introduces org.apache.tomcat.embed:tomcat-embed-logging-log4j which is not covered by platform. Yet, we should lookup the version to use from other tomcat artifacts, using some gradle magic",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
229,Implement a testing tool to check misusages of lifecycles,Allow a build to be run with a profile that fails tests when any of the following happen:    * lifecycle method is called more than once for a given object.  * dispose/stop method called without matching initialise/start having been called (if defined). Check for any possible combination scenarios.    Run the test suite with this tool enabled and verify any test failures caused by it. File a bug for each component that has a failure.    Provide this functionality to other teams do they can validate themselves the proper lifecycle usage of their defined objects.,EST_BE,Medium,INT Sprint 1,16,16,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
230,Sync up configuration.md and flags.cpp,"The https://reviews.apache.org/r/39923/ made some clean up for configuration.md but the related flags.cpp was not updated, we should update those files as well.",EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
231,Inconsistent API in AbstractSingleNodeNamedChannelSink,In [AbstractSingleNodeNamedChannelSink|https://github.com/spring-projects/spring-xd/blob/6bd17162c8a6da0f09f6f8809f694a060c71ecc0/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/test/sink/AbstractSingleNodeNamedChannelSink.java] the receive() and receivePayload() methods  are non-blocking.    Methods without timeout parameter are usually blocking and return the first message delivered to the channel (e.g. org.springframework.integration.channel.AbstractPollableChannel#receive()).     Integration tests based on spring-xd-test dependency and embedded xd-singlenode are asynchronous. This makes AbstractSingleNodeNamedChannelSink receive method return null in all invocations because test thread is progressing faster than container can process the message in the background.    Would it be possible to make receive methods behave like in AbstractPollableChannel?,EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
232,Rerun tests of DM-1135 with a larger number of galaxies,"As a result of the new error estimation, it became apparent that a larger number of sample galaxies were required in DM-1135.  This is an expansion of that test to a larger number of galaxies.  Since the original  great3 tests had about 2 million galaxies, we should be able to do these test reasonably well with the 6 million galaxy pool created in DM-1135.  However, the measurements need to be rerun in some cases, and the error analysis done again.",EST_BE,Medium,INT Sprint 1,12,12,11,12,13,12.0,0.33,0.03,12.0,12.17,12.42,12.77,12,4489,8
233,XY plot view of a table (JS) - density plot zoom support,Density plot zooming requires server call.,EST_BE,Medium,INT Sprint 1,12,12,11,12,13,12.0,0.33,0.03,12.0,12.17,12.42,12.77,12,4489,8
234,Add binding information to application definition,ModuleDefinition contains bindings that need to be passed to the ModuleRunner app. It appears these can be included in the application's environment.,EST_BE,Medium,INT Sprint 1,4,4,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
235,Generate cumulative statement / complexity metric for need of methodContext filtering,"A method context has maxComplexity / maxStatements attributes which allow to reduce the scope of context filter for methods where these metrics are lower than defined level (by default maxComplexity/maxStatements is Int.MAX_VALUE, i.e. all methods are taken into account). Example:    {code:xml}  <methodContext name=""trivial"" regexp="".*"" maxStatements=""1""/>  {code}    However, customer reported a problem that it excludes methods containing inline classes, for instance:    {code:java}  // the getListener() method has only one statement: ""return <object>;""  // if you use <methodContext name=""trivial"" regexp="".*"" maxStatements=""1"">  // then the whole code block will be filtered-out, including the actionPerformed() method  ActionListener getListener() {     return new ActionListener() {         public void actionPerformed(ActionEvent e) {             System.out.println(""statement #1"");             System.out.println(""statement #2"");         }     };   }  {code}    In the case above ActionListener() is an inner class so it has their own metrics. And because of fact that context filters are ""cumulative"" (so that whenever any code pattern is matched, then the whole block is excluded), the whole getListener() method is filtered-out, including inner class.    *Solution:*    We cannot change existing metrics (without breaking backward compatibility) and we cannot change the way how blocks are excluded (it would make no sense). But we can create new metrics called: cumulativeComplexity and cumulativeStatements. It would work as follows:     * for every interface, class, enum or method find all inner classes, interfaces, enums or methods (*)   ** this can be checked by matching occupied code regions (on a database level during metric calculation - preferred) or during instrumentation (code parser)   * calculate cumulativeComplexity and cumulativeStatements by adding cumulative value from all inner objects to current entity complexity/statements value   * add maxCumulativeComplexity / maxCumulativeStatments to Ant clover-setup/clover-instr and Maven clover2:setup / clover2:instr goals   ** html reports would probably remain unchanged (just grey-out)    (*) yes we should make code more flexible in order to make it ready to support code constructs like default methods in Java8 interfaces or Scala's functions inside functions etc   ",EST_BE,Medium,INT Sprint 1,16,16,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
236,Batch jobs send job and step events on channels,This is the other side of launching a job by sending a message.  The Job plugin should add listeners at the job/step level so that the job/step context information can be sent out on a channel.    :myjob.notifications is a suggested channel name that would be created automatically.,EST_BE,Medium,INT Sprint 1,16,16,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
237,Add (S)FTP Gateway and Batch Partitioner to List/Process Remote Files,,EST_BE,Medium,INT Sprint 1,32,33,31,32,33,32.0,0.33,0.01,32.0,32.17,32.42,32.77,32,27889,8
238,Add dynamic reservation tests with no principal,"Currently, there exist no dynamic reservation tests that include authorization of a framework that is registered with no principal. This should be added in order to more comprehensively test the dynamic reservation code.",EST_BE,Medium,INT Sprint 1,2,2,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
